algo,n,distribution,pivot,trial,time_ms,comparisons,swaps,extra_bytes
merge,100,random,,1,0.1256,544,271,400
merge,100,random,,2,0.1086,544,271,400
merge,100,random,,3,0.1113,544,271,400
heap,100,random,,1,0.1634,1037,592,0
heap,100,random,,2,0.1753,1037,592,0
heap,100,random,,3,0.1436,1037,592,0
insertion,100,random,,1,0.2275,2188,2092,0
insertion,100,random,,2,0.2265,2188,2092,0
insertion,100,random,,3,0.2031,2188,2092,0
selection,100,random,,1,0.261,4950,94,0
selection,100,random,,2,0.2564,4950,94,0
selection,100,random,,3,0.2509,4950,94,0
merge,100,sorted,,1,0.1601,316,0,400
merge,100,sorted,,2,0.0756,316,0,400
merge,100,sorted,,3,0.0734,316,0,400
heap,100,sorted,,1,0.1563,1081,640,0
heap,100,sorted,,2,0.163,1081,640,0
heap,100,sorted,,3,0.1583,1081,640,0
insertion,100,sorted,,1,0.0094,99,0,0
insertion,100,sorted,,2,0.0084,99,0,0
insertion,100,sorted,,3,0.008,99,0,0
selection,100,sorted,,1,0.2543,4950,0,0
selection,100,sorted,,2,0.2446,4950,0,0
selection,100,sorted,,3,0.2505,4950,0,0
merge,100,reversed,,1,0.0939,356,356,400
merge,100,reversed,,2,0.0859,356,356,400
merge,100,reversed,,3,0.0918,356,356,400
heap,100,reversed,,1,0.1394,944,516,0
heap,100,reversed,,2,0.1305,944,516,0
heap,100,reversed,,3,0.129,944,516,0
insertion,100,reversed,,1,0.4763,4950,4950,0
insertion,100,reversed,,2,0.4638,4950,4950,0
insertion,100,reversed,,3,0.5287,4950,4950,0
selection,100,reversed,,1,0.2547,4950,50,0
selection,100,reversed,,2,0.2542,4950,50,0
selection,100,reversed,,3,0.2521,4950,50,0
merge,100,nearly,,1,0.088,383,77,400
merge,100,nearly,,2,0.0763,383,77,400
merge,100,nearly,,3,0.0751,383,77,400
heap,100,nearly,,1,0.1491,1078,637,0
heap,100,nearly,,2,0.1545,1078,637,0
heap,100,nearly,,3,0.1565,1078,637,0
insertion,100,nearly,,1,0.0244,258,159,0
insertion,100,nearly,,2,0.0229,258,159,0
insertion,100,nearly,,3,0.0226,258,159,0
selection,100,nearly,,1,0.2564,4950,5,0
selection,100,nearly,,2,0.32,4950,5,0
selection,100,nearly,,3,0.2694,4950,5,0
merge,500,random,,1,0.7144,3862,1936,2000
merge,500,random,,2,0.7022,3862,1936,2000
merge,500,random,,3,0.6295,3862,1936,2000
heap,500,random,,1,0.9789,7425,4039,0
heap,500,random,,2,0.9908,7425,4039,0
heap,500,random,,3,0.9927,7425,4039,0
insertion,500,random,,1,5.8986,62277,61781,0
insertion,500,random,,2,6.0931,62277,61781,0
insertion,500,random,,3,6.0507,62277,61781,0
selection,500,random,,1,6.6574,124750,497,0
selection,500,random,,2,6.69,124750,497,0
selection,500,random,,3,6.73,124750,497,0
merge,500,sorted,,1,0.4366,2216,0,2000
merge,500,sorted,,2,0.4232,2216,0,2000
merge,500,sorted,,3,0.4155,2216,0,2000
heap,500,sorted,,1,1.0966,7756,4354,0
heap,500,sorted,,2,1.087,7756,4354,0
heap,500,sorted,,3,1.0833,7756,4354,0
insertion,500,sorted,,1,0.0477,499,0,0
insertion,500,sorted,,2,0.0423,499,0,0
insertion,500,sorted,,3,0.0416,499,0,0
selection,500,sorted,,1,6.4611,124750,0,0
selection,500,sorted,,2,6.4409,124750,0,0
selection,500,sorted,,3,6.4741,124750,0,0
merge,500,reversed,,1,0.5135,2272,2272,2000
merge,500,reversed,,2,0.4953,2272,2272,2000
merge,500,reversed,,3,0.4953,2272,2272,2000
heap,500,reversed,,1,0.9495,7010,3676,0
heap,500,reversed,,2,0.9353,7010,3676,0
heap,500,reversed,,3,0.9468,7010,3676,0
insertion,500,reversed,,1,12.1547,124750,124750,0
insertion,500,reversed,,2,11.7256,124750,124750,0
insertion,500,reversed,,3,11.5926,124750,124750,0
selection,500,reversed,,1,6.3719,124750,250,0
selection,500,reversed,,2,6.6705,124750,250,0
selection,500,reversed,,3,6.6879,124750,250,0
merge,500,nearly,,1,0.5826,3260,1102,2000
merge,500,nearly,,2,0.5408,3260,1102,2000
merge,500,nearly,,3,0.5882,3260,1102,2000
heap,500,nearly,,1,1.0896,7708,4299,0
heap,500,nearly,,2,1.0782,7708,4299,0
heap,500,nearly,,3,1.0626,7708,4299,0
